"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Nicaragua,"14,448",,204 ,,"4,225",,"10,019",,"2,149",30,,,"6,722,898 ",North America,465,"32,955",,,,"1,490"
Congo,"14,359",,197 ,,"12,421",,"1,741",,"2,525",35,"188,207","33,093","5,687,203 ",Africa,396,"28,869",30,,,306
Burkina Faso,"14,290",+28,187 ,+3,"13,904",+12,199,,661,9,"217,762","10,074","21,616,620 ",Africa,"1,513","115,597",99,1,0.1,9
Djibouti,"12,881",+11,169 ,+2,"12,201",+39,511,,"12,805",168,"222,553","221,243","1,005,920 ",Africa,78,"5,952",5,11,2,508
Equatorial Guinea,"12,362",,147 ,,"11,008",,"1,207",1,"8,465",101,"195,087","133,594","1,460,295 ",Africa,118,"9,934",7,,,827
Hong Kong,"12,227",+5,213 ,,"11,909",+3,105,,"1,615",28,"25,235,157","3,332,291","7,572,916 ",Asia,619,"35,554",0,0.7,,14
South Sudan,"12,021",,130 ,,"11,617",,274,4,"1,058",11,"226,848","19,973","11,357,483 ",Africa,945,"87,365",50,,,24
Iceland,"11,839",,33 ,,"11,447",,359,1,"34,415",96,"1,062,152","3,087,579","344,008 ",Europe,29,"10,424",0,,,"1,044"
Channel Islands,"11,657",,97 ,,"11,225",,335,,"66,285",552,"911,340","5,182,102","175,863 ",Europe,15,"1,813",0,,,"1,905"
Saint Lucia,"11,573",,207 ,,"9,775",,"1,591",15,"62,667","1,121","80,330","434,980","184,675 ",North America,16,892,2,,,"8,615"
CAR,"11,371",,100 ,,"6,859",,"4,412",2,"2,304",20,"60,228","12,206","4,934,455 ",Africa,434,"49,345",82,,,894
Gambia,"9,935",,338 ,,"9,588",,9,3,"3,972",135,"102,510","40,985","2,501,153 ",Africa,252,"7,400",24,,,4
Yemen,"9,139",+28,"1,734 ",+5,"5,659",+8,"1,746",23,298,57,"265,253","8,656","30,644,252 ",Asia,"3,353","17,673",116,0.9,0.2,57
Barbados,"8,609",,78 ,,"7,451",,"1,080",,"29,912",271,"320,277","1,112,788","287,815 ",North America,33,"3,690",1,,,"3,752"
New Caledonia,"7,932",+313,142 ,+13,56,,"7,734",55,"27,454",491,"42,756","147,984","288,924 ",Australia/Oceania,36,"2,035",7,"1,083",45,"26,768"
Isle of Man,"7,634",+23,52 ,,"7,217",,365,1,"89,187",608,"123,937","1,447,947","85,595 ",Europe,11,"1,646",1,269,,"4,264"
Brunei ,"7,568",+242,55 ,+5,"5,192",+149,"2,321",30,"17,095",124,"364,939","824,333","442,708 ",Asia,58,"8,049",1,547,11,"5,243"
Eritrea,"6,722",,42 ,,"6,638",,42,,"1,863",12,"23,693","6,567","3,607,647 ",Africa,537,"85,896",152,,,12
Sierra Leone,"6,394",,121 ,,"4,390",,"1,883",,782,15,"160,729","19,651","8,179,116 ",Africa,"1,279","67,596",51,,,230
Guinea-Bissau,"6,110",,135 ,,"5,329",,646,4,"3,016",67,"98,330","48,536","2,025,926 ",Africa,332,"15,007",21,,,319
Niger,"6,025",,203 ,,"5,769",,53,,238,8,"157,540","6,228","25,295,508 ",Africa,"4,198","124,608",161,,,2
Liberia,"5,799",,286 ,,"5,458",,55,2,"1,114",55,"128,246","24,636","5,205,724 ",Africa,898,"18,202",41,,,11
Gibraltar,"5,566",+10,97 ,,"5,386",+7,83,2,"165,271","2,880","363,191","10,784,221","33,678 ",Europe,6,347,0,297,,"2,465"
San Marino,"5,428",,91 ,,"5,310",,27,2,"159,553","2,675","79,097","2,325,015","34,020 ",Europe,6,374,0,,,794
Bermuda,"5,244",,72 ,,"3,719",,"1,453",1,"84,594","1,161","541,307","8,732,166","61,990 ",North America,12,861,0,,,"23,439"
Grenada,"5,236",+41,150 ,+9,"4,091",+288,995,,"46,265","1,325","70,382","621,892","113,174 ",North America,22,754,2,362,80,"8,792"
Chad,"5,042",,174 ,,"4,857",,11,,296,10,"146,898","8,635","17,012,329 ",Africa,"3,374","97,772",116,,,0.6
New Zealand,"4,319",+28,27 ,,"4,053",+64,239,5,863,5,"3,419,544","683,622","5,002,100 ",Australia/Oceania,"1,158","185,263",1,6,,48
Sint Maarten,"4,307",+16,66 ,,"4,081",+41,160,10,"99,050","1,518","41,509","954,603","43,483 ",North America,10,659,1,368,,"3,680"
Comoros,"4,147",,147 ,,"3,966",+3,34,,"4,646",165,,,"892,679 ",Africa,215,"6,073",,,,38
Saint Martin,"3,748",,55 ,,"1,399",,"2,294",7,"94,915","1,393","54,303","1,375,177","39,488 ",North America,11,718,1,,,"58,094"
Dominica,"3,602",+47,21 ,,"3,006",+11,575,,"49,883",291,"74,644","1,033,722","72,209 ",North America,20,"3,439",1,651,,"7,963"
St. Vincent Grenadines,"3,563",,26 ,,"2,444",,"1,093",2,"31,990",233,"77,176","692,907","111,380 ",North America,31,"4,284",1,,,"9,813"
Sao Tome and Principe,"3,531",+27,52 ,+1,"2,800",+19,679,,"15,747",232,"14,689","65,508","224,232 ",Africa,64,"4,312",15,120,4,"3,028"
Liechtenstein,"3,449",+1,60 ,,"3,368",,21,2,"90,135","1,568","49,126","1,283,836","38,265 ",Europe,11,638,1,26,,549
Antigua and Barbuda,"3,336",,81 ,,"2,233",,"1,022",9,"33,717",819,"17,674","178,632","98,941 ",North America,30,"1,221",6,,,"10,329"
Monaco,"3,314",,33 ,,"3,254",,27,2,"83,710",834,"54,960","1,388,264","39,589 ",Europe,12,"1,200",1,,,682
Turks and Caicos,"2,859",+5,23 ,,"2,780",+1,56,1,"72,619",584,"94,789","2,407,645","39,370 ",North America,14,"1,712",0,127,,"1,422"
British Virgin Islands,"2,642",,37 ,,"2,555",,50,7,"86,674","1,214","79,575","2,610,557","30,482 ",North America,12,824,0,,,"1,640"
Bhutan,"2,601",,3 ,,"2,594",,4,,"3,325",4,"1,154,543","1,475,999","782,211 ",Asia,301,"260,737",1,,,5
Caribbean Netherlands,"2,126",+10,19 ,,"1,967",,140,,"80,145",716,"23,069","869,642","26,527 ",North America,12,"1,396",1,377,,"5,278"
Saint Kitts and Nevis,"1,965",,13 ,,"1,000",,952,1,"36,613",242,"42,068","783,842","53,669 ",North America,27,"4,128",1,,,"17,738"
St. Barth,"1,578",,4 ,,462,,"1,112",,"159,153",403,"38,369","3,869,793","9,915 ",North America,6,"2,479",0,,,"112,153"
Faeroe Islands,"1,210",+22,2 ,,"1,085",+13,123,,"24,646",41,"433,972","8,839,434","49,095 ",Europe,41,"24,548",0,448,,"2,505"
Cayman Islands,853,,2 ,,781,,70,,"12,791",30,"136,206","2,042,528","66,685 ",North America,78,"33,343",0,,,"1,050"
Diamond Princess,712,,13 ,,699,,0,,,,,, ,,,,,,,
Greenland,584,, ,,504,,80,1,"10,265",,"76,491","1,344,471","56,893 ",North America,97,,1,,,"1,406"
Wallis and Futuna,445,,7 ,,438,,0,,"40,480",637,"20,508","1,865,551","10,993 ",Australia/Oceania,25,"1,570",1,,,
Anguilla,425,,1 ,,393,,31,,"28,016",66,"42,919","2,829,202","15,170 ",North America,36,"15,170",0,,,"2,044"
Macao,71,, ,,64,,7,,108,,"4,896","7,414","660,377 ",Asia,"9,301",,135,,,11
Falkland Islands,67,, ,,63,,4,,"18,580",,"7,531","2,088,464","3,606 ",South America,54,,0,,,"1,109"
Montserrat,34,,1 ,,31,,2,,"6,805",200,"1,408","281,825","4,996 ",North America,147,"4,996",4,,,400
Saint Pierre Miquelon,31,, ,,31,,0,,"5,383",,"8,671","1,505,643","5,759 ",North America,186,,1,,,
Vatican City,27,, ,,27,,0,,"33,582",,,,804 ,Europe,30,,,,,
Solomon Islands,20,, ,,20,,0,,28,,"4,500","6,357","707,858 ",Australia/Oceania,"35,393",,157,,,
Western Sahara,10,,1 ,,8,,1,,16,2,,,"615,626 ",Africa,"61,563","615,626",,,,2
MS Zaandam,9,,2 ,,7,,0,,,,,, ,,,,,,,
Palau,5,, ,,5,,0,,275,,"9,964","547,412","18,202 ",Australia/Oceania,"3,640",,2,,,
Vanuatu,4,,1 ,,3,,0,,13,3,"23,000","72,765","316,084 ",Australia/Oceania,"79,021","316,084",14,,,
Marshall Islands,4,, ,,4,,0,,67,,,,"59,689 ",Australia/Oceania,"14,922",,,,,
Samoa,3,, ,,3,,0,,15,,,,"200,060 ",Australia/Oceania,"66,687",,,,,
Saint Helena,2,, ,,2,,0,,328,,,,"6,100 ",Africa,"3,050",,,,,
Micronesia,1,, ,,1,,0,,9,,,,"116,528 ",Australia/Oceania,"116,528",,,,,
